id,hostname,version,datasets,hyper_params,note
323182b65680437e82a724646ce75f20,marcwork,dev_imudb_2024-04-05T14:40:08.577361+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T14:40:08.577361+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
833d4982d45d40a79b27b19cd92bd0c9,marcwork,dev_imudb_2024-04-05T14:47:49.171469+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T14:47:49.171469+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
0677ae99dd3546718a84eda4f1c4d38e,marcwork,dev_imudb_2024-04-05T14:50:16.906208+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T14:50:16.906208+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
1ad10388bf474b3b916b0909608acf6e,marcwork,dev_imudb_2024-04-05T14:51:05.633825+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T14:51:05.633825+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
d346f64af4624559938d241a6bae9c8a,marcwork,dev_imudb_2024-04-05T14:52:41.982278+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T14:52:41.982278+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
90ac58eb3c8d4417b33ab21f90cd7ecd,marcwork,dev_imudb_2024-04-05T14:53:18.083678+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T14:53:18.083678+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
c56fe59b37a44bde8dfd61611e181d64,marcwork,dev_imudb_2024-04-05T16:06:10.628166+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T16:06:10.628166+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
3ddb09f35b804aa4a8c72e0d82e83b38,marcwork,dev_imudb_2024-04-05T16:11:30.007488+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T16:11:30.007488+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
e00c3668e2a546ea9da35a0315ee0565,marcwork,dev_imudb_2024-04-05T16:19:52.018632+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T16:19:52.018632+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
d43ef34de74b40fa858fd1fa1f4c76a6,marcwork,dev_imudb_2024-04-05T16:22:31.217640+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T16:22:31.217640+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
22afd236af934ef1bc6f14a6ee8d1214,marcwork,dev_imudb_2024-04-05T16:23:05.770452+02:00,euroc_imudb,logs_marcwork/euroc_imudb/dev_imudb_2024-04-05T16:23:05.770452+02:00/hparams.yaml,bug fix use raw and pred for nsp, weight denoise loss with 10
